epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98067,2.33589,7.09582,1.38358,0.00043,0.25,0.00036,0.00022,1.5747,7.04464,0.91401,8e-05,8e-05,8e-05
2,9.89744,1.89353,9.67539,1.13763,0.04563,0.47222,0.12118,0.06778,1.48757,41.7858,0.90145,0.000176436,0.000176436,0.000176436
3,18.8195,1.5486,5.21792,0.91865,0.005,0.63889,0.0046,0.00295,1.54766,283.056,0.88703,0.000268912,0.000268912,0.000268912
4,25.0486,1.34548,2.00837,0.90611,0.0055,0.83333,0.00561,0.00388,1.21894,inf,0.88152,0.000357428,0.000357428,0.000357428
5,31.5048,1.73043,2.11692,0.96817,0.18349,0.88889,0.17203,0.10431,nan,nan,nan,0.000441984,0.000441984,0.000441984
6,40.8658,1.46185,2.03346,0.91385,0.01289,0.75,0.01138,0.00646,nan,nan,nan,0.00052258,0.00052258,0.00052258
7,46.4771,1.62336,1.58135,0.88832,0.00127,0.05556,0.00022,0.00012,nan,nan,nan,0.000599216,0.000599216,0.000599216
8,53.1258,1.50775,1.12422,0.84095,0.00032,0.13889,0.00017,7e-05,nan,nan,nan,0.000671892,0.000671892,0.000671892
9,59.0969,1.35832,1.01186,0.87659,0.00135,0.63889,0.00111,0.00053,nan,nan,nan,0.000740608,0.000740608,0.000740608
10,65.1619,1.62018,1.14101,0.90851,0.00027,0.11111,0.00012,5e-05,nan,nan,nan,0.000805364,0.000805364,0.000805364
11,71.3622,1.63589,0.96923,0.91617,0.00017,0.05556,9e-05,2e-05,nan,nan,nan,0.00086616,0.00086616,0.00086616
12,77.2935,1.45519,0.80028,0.87661,0,0,0,0,nan,nan,nan,0.000922996,0.000922996,0.000922996
13,83.7938,1.33384,0.8821,0.84066,0,0,0,0,nan,nan,nan,0.000975872,0.000975872,0.000975872
14,89.6433,1.13945,0.74663,0.86437,0.00049,0.27778,0.00078,0.00013,nan,nan,nan,0.00102479,0.00102479,0.00102479
15,95.2477,1.26355,0.67601,0.87261,0.00045,0.19444,0.00027,0.00016,nan,nan,nan,0.00106974,0.00106974,0.00106974
16,100.587,1.51925,0.93723,0.90577,0.00383,0.63889,0.00307,0.00185,1.55582,inf,1.05693,0.00111074,0.00111074,0.00111074
17,106.389,1.39554,0.91343,0.95747,0.00651,0.5,0.00573,0.00365,1.5739,443.358,0.94311,0.00114778,0.00114778,0.00114778
18,111.98,1.27105,0.87297,0.84614,0.17699,0.94444,0.17381,0.10369,1.19699,9.01515,0.90051,0.00118085,0.00118085,0.00118085
19,118.041,1.34838,0.86937,0.91783,0.74501,0.89282,0.78418,0.46037,1.51902,8.36063,0.88674,0.00120997,0.00120997,0.00120997
20,127.242,1.57211,0.90961,0.84474,0.68611,0.44444,0.50394,0.25957,1.4289,11.0082,0.91612,0.00123512,0.00123512,0.00123512
21,134.346,1.53103,0.78003,0.90716,0.6389,0.38889,0.42055,0.23653,1.82785,10.4538,0.94458,0.001208,0.001208,0.001208
22,140.78,1.25377,0.68161,0.85726,0.65305,0.55556,0.59598,0.34086,1.46451,10.1068,0.90547,0.0011684,0.0011684,0.0011684
